YR,MON,AO Index
2004,3,0.318060
2004,4,-0.409380
2004,5,-0.094252
2004,6,-0.235870
2004,7,-0.200540
2004,8,-0.720190
2004,9,0.855010
2004,10,-0.515420
2004,11,0.678270
2004,12,1.230100
2005,1,0.356170
2005,2,-1.270600
2005,3,-1.347900
2005,4,-0.046214
2005,5,-0.763360
2005,6,-0.383240
2005,7,-0.030247
2005,8,0.026141
2005,9,0.802390
2005,10,0.029768
2005,11,0.227690
2005,12,-2.103900
2006,1,-0.170470
2006,2,-0.155770
2006,3,-1.603800
2006,4,0.138330
2006,5,0.155810
2006,6,1.070800
2006,7,0.102700
2006,8,-0.265250
2006,9,0.606490
2006,10,-1.029100
2006,11,0.521310
2006,12,2.281700
2007,1,2.033800
2007,2,-1.306900
2007,3,1.182100
2007,4,0.544270
2007,5,0.893670
2007,6,-0.554960
2007,7,-0.396520
2007,8,-0.033738
2007,9,0.178920
2007,10,0.383480
2007,11,-0.518660
2007,12,0.821130
2008,1,0.818960
2008,2,0.938070
2008,3,0.585590
2008,4,-0.455010
2008,5,-1.204700
2008,6,-0.089780
2008,7,-0.479920
2008,8,-0.080482
2008,9,-0.326570
2008,10,1.675800
2008,11,0.092205
2008,12,0.647780
2009,1,0.799750
2009,2,-0.672300
2009,3,0.121340
2009,4,0.972530
2009,5,1.193700
2009,6,-1.350700
2009,7,-1.355900
2009,8,-0.053666
2009,9,0.874510
2009,10,-1.539900
2009,11,0.458850
2009,12,-3.412800
2010,1,-2.586800
2010,2,-4.265700
2010,3,-0.432080
2010,4,-0.274500
2010,5,-0.918640
2010,6,-0.013004
2010,7,0.435270
2010,8,-0.116600
2010,9,-0.864640
2010,10,-0.466970
2010,11,-0.375750
2010,12,-2.631000
2011,1,-1.683100
2011,2,1.575400
2011,3,1.424100
2011,4,2.274800
2011,5,-0.035093
2011,6,-0.857750
2011,7,-0.471620
2011,8,-1.062600
2011,9,0.664740
2011,10,0.799750
2011,11,1.459200
2011,12,2.220800
2012,1,-0.219660
2012,2,-0.036335
2012,3,1.037100
2012,4,-0.034571
2012,5,0.168410
2012,6,-0.672410
2012,7,0.167790
2012,8,0.013999
2012,9,0.772250
2012,10,-1.514000
2012,11,-0.110570
2012,12,-1.748600
2013,1,-0.609520
2013,2,-1.007400
2013,3,-3.185400
2013,4,0.322210
2013,5,0.494010
2013,6,0.548650
2013,7,-0.011112
2013,8,0.154250
2013,9,-0.460880
2013,10,0.262760
2013,11,2.029000
2013,12,1.474900
2014,1,-0.968760
2014,2,0.043775
2014,3,1.205800
2014,4,0.971970
2014,5,0.464210
2014,6,-0.507450
2014,7,-0.488940
2014,8,-0.371540
2014,9,0.101910
2014,10,-1.134400
2014,11,-0.530300
